product_id,product_title,rating,summary,review
SON17955,Sony Printer Plus,1,Good,The Vivo Smartphone offers dual camera and superb value for money.
ONE80525,OnePlus Smartphone Edge,1,Good,One of the best Nikon Refrigerator I’ve ever used.
HP 88878,HP Omen Smartphone Edge,1,Excellent,The Itel Printer offers Bluetooth and superb value for money.
HON51355,Honor Printer Lite,4,Terrific purchase,Very durable and efficient. Love the water resistant.
BOU99722,Boult Washing Machine Max,4,Good,One of the best Itel Monitor I’ve ever used.
CAN40263,Canon Speaker X,5,Good,Highly recommend this Smartwatch if you need noise cancelling.
MSI34612,MSI Camera Lite,5,Poor,The Noise Smartphone offers fast charging and superb value for money.
JBL50569,JBL Projector Max,4,Poor,Highly recommend this Earbuds if you need dual camera.
HIS92860,Hisense Monitor Max,3,Poor,One of the best HyperX Smartwatch I’ve ever used.
REA93771,realme Earbuds X,5,Poor,"Amazing Gaming Console from Hisense, great performance and design."
PHI70290,Philips Earbuds Edge,1,Poor,"Amazing Smartwatch from Logitech, great performance and design."
AMA92029,AmazonBasics Earbuds Prime,4,Poor,The Hisense Headphones offers smart assistant and superb value for money.
ASU72603,Asus Smartwatch Ultra,2,Good,"Amazing Refrigerator from Acer, great performance and design."
SON56472,Sony Tablet Pro,1,Excellent,Highly recommend this Tablet if you need long battery life.
LEN54693,Lenovo Smartwatch X,2,Excellent,One of the best Apple Earbuds I’ve ever used.
PAN71557,Panasonic Smartphone Plus,2,Good,"Amazing Headphones from Itel, great performance and design."
ONE68826,OnePlus Speaker Prime,5,Good,"Amazing Headphones from Zebronics, great performance and design."
PAN45191,Panasonic Projector X,5,Terrific purchase,Highly recommend this Air Conditioner if you need smart assistant.
VOL95503,Voltas Gaming Console X,4,Average,One of the best JBL Monitor I’ve ever used.
ZEB49664,Zebronics TV Edge,2,Terrific purchase,The Dell Tablet offers Bluetooth and superb value for money.
MI56481,Mi Washing Machine Go,5,Good,One of the best Samsung Camera I’ve ever used.
LAV43334,Lava TV Lite,4,Average,One of the best Havells Projector I’ve ever used.
TOS25246,Toshiba Washing Machine Pro,5,Terrific purchase,One of the best Nikon Headphones I’ve ever used.
OPP40195,Oppo TV Ultra,1,Good,Highly recommend this Air Conditioner if you need long battery life.
TOS65372,Toshiba Printer Elite,4,Terrific purchase,The iQOO Headphones offers noise cancelling and superb value for money.
DEL75576,Dell Printer Lite,1,Average,The Philips Monitor offers 4K UHD and superb value for money.
XIA90857,Xiaomi Earbuds Edge,3,Average,Highly recommend this Printer if you need wireless.
SON15254,Sony Air Conditioner Ultra,2,Good,One of the best HP Tablet I’ve ever used.
DEL69297,Dell Smartwatch Elite,5,Average,"Amazing Air Conditioner from Dell, great performance and design."
HYP14123,HyperX Gaming Console Prime,3,Poor,One of the best TCL Camera I’ve ever used.
PHI52670,Philips Monitor Lite,1,Terrific purchase,One of the best Infinix Air Conditioner I’ve ever used.
DEL81688,Dell Projector Prime,5,Poor,Highly recommend this Projector if you need smart assistant.
ONE19546,OnePlus Printer Edge,1,Excellent,One of the best NoiseFit Headphones I’ve ever used.
BOU66366,Boult Headphones Go,1,Good,"Amazing TV from Lenovo, great performance and design."
APP85377,Apple Camera Lite,1,Poor,"Amazing TV from Asus, great performance and design."
NOI89102,Noise Washing Machine Plus,1,Terrific purchase,The Syska Projector offers 4K UHD and superb value for money.
GOD42048,Godrej Printer X,1,Terrific purchase,Highly recommend this Refrigerator if you need smart assistant.
BOA59026,boAt Tablet Edge,4,Terrific purchase,One of the best Godrej Camera I’ve ever used.
HON30951,Honor Headphones Edge,5,Excellent,One of the best CrossBeats Air Conditioner I’ve ever used.
HP56558,HP Headphones Go,1,Terrific purchase,"Amazing Washing Machine from HP Omen, great performance and design."
NOI79761,Noise Camera Plus,4,Good,"Amazing Air Conditioner from Philips, great performance and design."
HIS22701,Hisense Earbuds Ultra,5,Excellent,One of the best HP Omen Speaker I’ve ever used.
REA93732,Realwear Laptop Lite,5,Terrific purchase,"Amazing Refrigerator from Panasonic, great performance and design."
HAV79534,Havells Monitor Max,5,Average,One of the best Itel Speaker I’ve ever used.
SON67581,Sony Headphones Go,4,Poor,One of the best AmazonBasics Smartphone I’ve ever used.
HON59869,Honor Laptop Prime,3,Poor,Highly recommend this Projector if you need smart assistant.
ACE45003,Acer Refrigerator Go,2,Good,Very durable and efficient. Love the Bluetooth.
ZEB55392,Zebronics Monitor Prime,2,Terrific purchase,"Amazing Gaming Console from Fire-Boltt, great performance and design."
PAN35344,Panasonic Projector Go,1,Average,The TCL Camera offers smart assistant and superb value for money.
NOK89027,Nokia Laptop Max,2,Terrific purchase,The POCO Headphones offers noise cancelling and superb value for money.
VOL73403,Voltas Gaming Console Prime,1,Good,"Amazing Earbuds from Asus, great performance and design."
CRO60062,CrossBeats Camera Elite,4,Good,"Amazing Monitor from Voltas, great performance and design."
DEL12811,Dell Alienware Camera X,3,Average,Very durable and efficient. Love the Bluetooth.
TEC53215,Tecno Refrigerator Ultra,5,Excellent,Very durable and efficient. Love the wireless.
TEC25028,Tecno Washing Machine Ultra,3,Good,"Amazing Camera from BlueStar, great performance and design."
CAN16430,Canon Monitor Go,1,Poor,The OnePlus Monitor offers touch control and superb value for money.
ACE85597,Acer Speaker Go,4,Poor,Highly recommend this Gaming Console if you need long battery life.
FUJ25954,Fujifilm Washing Machine Plus,3,Terrific purchase,One of the best Sony Speaker I’ve ever used.
HYP72421,HyperX Smartphone Ultra,2,Poor,One of the best Itel Camera I’ve ever used.
ASU80566,Asus Camera Plus,2,Terrific purchase,One of the best Oppo Printer I’ve ever used.
BOU48310,Boult TV Max,1,Good,Very durable and efficient. Love the fast charging.
VOL75560,Voltas Printer Ultra,4,Terrific purchase,One of the best Lenovo Gaming Console I’ve ever used.
HAV31277,Havells Projector Prime,3,Excellent,"Amazing Headphones from Godrej, great performance and design."
NIK80728,Nikon Smartwatch Edge,1,Excellent,"Amazing Projector from HyperX, great performance and design."
PAN14167,Panasonic Washing Machine Max,4,Poor,The Philips Washing Machine offers smart assistant and superb value for money.
LG30012,LG Gaming Console Edge,1,Terrific purchase,The boAt Projector offers smart assistant and superb value for money.
IQO34941,iQOO Air Conditioner Elite,4,Average,"Amazing Projector from Fire-Boltt, great performance and design."
GOO66009,Google Refrigerator Go,3,Average,One of the best Philips Smartwatch I’ve ever used.
FUJ66995,Fujifilm TV Max,5,Average,Highly recommend this Air Conditioner if you need fast charging.
HAI64681,Haier Smartphone Ultra,5,Poor,Highly recommend this Smartphone if you need water resistant.
NOK66111,Nokia Laptop Max,5,Excellent,The Philips Printer offers wireless and superb value for money.
PHI67398,Philips Smartwatch Ultra,3,Excellent,Very durable and efficient. Love the noise cancelling.
VIV67183,Vivo Speaker Elite,2,Poor,The Vivo Headphones offers fast charging and superb value for money.
FIR49761,Fire-Boltt Gaming Console Prime,3,Poor,Very durable and efficient. Love the fast charging.
HIS62495,Hisense Earbuds X,4,Excellent,Highly recommend this Speaker if you need smart assistant.
MOT44037,Motorola Smartwatch Plus,5,Excellent,The NoiseFit TV offers water resistant and superb value for money.
TEC13277,Tecno Speaker Ultra,2,Good,One of the best JBL Smartphone I’ve ever used.
INF32940,Infinix Tablet X,3,Excellent,One of the best Noise Camera I’ve ever used.
ITE35660,Itel Camera Max,3,Terrific purchase,"Amazing Air Conditioner from Motorola, great performance and design."
REA21718,realme Gaming Console Prime,1,Poor,Very durable and efficient. Love the touch control.
PHI37165,Philips Monitor Pro,1,Average,Highly recommend this Laptop if you need touch control.
CAN70912,Canon Laptop Go,2,Average,The HP Speaker offers water resistant and superb value for money.
MOT34599,Motorola Gaming Console Plus,5,Average,Highly recommend this Washing Machine if you need wireless.
MI93950,Mi Smartphone Plus,5,Excellent,One of the best Noise Earbuds I’ve ever used.
JBL74223,JBL Refrigerator Max,2,Average,The TCL TV offers 4K UHD and superb value for money.
SON66791,Sony Smartwatch Edge,3,Poor,Highly recommend this Monitor if you need OLED display.
PAN82161,Panasonic TV Go,5,Poor,"Amazing Projector from Whirlpool, great performance and design."
NIK97141,Nikon Smartphone Pro,2,Good,"Amazing Projector from MSI, great performance and design."
HON23696,Honor Headphones Edge,2,Terrific purchase,"Amazing Projector from CrossBeats, great performance and design."
HAV60714,Havells Tablet Ultra,4,Poor,The Canon Gaming Console offers noise cancelling and superb value for money.
POC83356,POCO Monitor Max,3,Good,Very durable and efficient. Love the dual camera.
SON67794,Sony Laptop Lite,4,Average,"Amazing Tablet from Havells, great performance and design."
HON46095,Honor Printer Plus,4,Good,"Amazing Refrigerator from Motorola, great performance and design."
ZEB69955,Zebronics Tablet Pro,1,Poor,Highly recommend this Washing Machine if you need dual camera.
LG77017,LG Gaming Console Edge,5,Good,Very durable and efficient. Love the OLED display.
DEL35676,Dell Alienware Speaker Prime,1,Terrific purchase,Highly recommend this Monitor if you need touch control.
REA48700,Realwear Projector Lite,5,Terrific purchase,"Amazing TV from Havells, great performance and design."
JBL96095,JBL Speaker Prime,3,Good,The Voltas TV offers wireless and superb value for money.
BOU78780,Boult Smartphone Pro,3,Good,Very durable and efficient. Love the touch control.
VIV97897,Vivo Gaming Console Edge,4,Excellent,Very durable and efficient. Love the fast charging.
LAV37989,Lava Printer Plus,3,Good,Very durable and efficient. Love the long battery life.
HYP50232,HyperX Laptop Go,4,Poor,Highly recommend this Printer if you need 4K UHD.
XIA43524,Xiaomi Smartphone Ultra,1,Good,One of the best Lava Laptop I’ve ever used.
NOI27564,NoiseFit Laptop Prime,5,Excellent,Very durable and efficient. Love the Bluetooth.
LAV41256,Lava Earbuds Edge,5,Excellent,"Amazing Gaming Console from Panasonic, great performance and design."
PHI42836,Philips Monitor Ultra,5,Good,Very durable and efficient. Love the fast charging.
CAN16724,Canon Printer Lite,5,Excellent,Highly recommend this Laptop if you need noise cancelling.
GOO21449,Google Earbuds Ultra,5,Excellent,"Amazing Smartphone from Zebronics, great performance and design."
LG11776,LG Smartwatch Elite,3,Average,Very durable and efficient. Love the Bluetooth.
ONE20887,OnePlus Smartphone X,5,Good,One of the best BlueStar Speaker I’ve ever used.
REA58450,realme Air Conditioner Lite,3,Average,One of the best Fire-Boltt Monitor I’ve ever used.
DEL65540,Dell Alienware Washing Machine Ultra,1,Good,Highly recommend this TV if you need touch control.
DEL20077,Dell Alienware Laptop Ultra,5,Average,Highly recommend this Smartwatch if you need long battery life.
KEN43645,Kent Smartphone Ultra,2,Poor,Highly recommend this Projector if you need touch control.
AMA97322,AmazonBasics Gaming Console Edge,2,Poor,The Boult Headphones offers OLED display and superb value for money.
HAI71216,Haier Smartphone Lite,3,Terrific purchase,Very durable and efficient. Love the OLED display.
DEL33519,Dell Printer Plus,3,Terrific purchase,The Motorola Monitor offers dual camera and superb value for money.
ITE53423,Itel Smartphone Elite,3,Average,The Nokia Monitor offers smart assistant and superb value for money.
MSI96199,MSI Refrigerator X,2,Terrific purchase,Highly recommend this Tablet if you need touch control.
COR40799,Corsair Air Conditioner X,2,Average,One of the best Realwear Air Conditioner I’ve ever used.
LOG13387,Logitech Projector Pro,4,Poor,Highly recommend this Headphones if you need smart assistant.
BOU17061,Boult Camera Ultra,1,Average,Very durable and efficient. Love the Bluetooth.
CAN89712,Canon Laptop Edge,4,Poor,The Syska Projector offers long battery life and superb value for money.
LEN71708,Lenovo Gaming Console Max,5,Poor,Highly recommend this Air Conditioner if you need long battery life.
ASU80140,Asus Smartphone Lite,4,Poor,Highly recommend this Monitor if you need OLED display.
LOG12042,Logitech Washing Machine Max,3,Excellent,The MSI Monitor offers long battery life and superb value for money.
CRO60384,CrossBeats Smartphone Plus,2,Excellent,The Zebronics Projector offers water resistant and superb value for money.
PAN68177,Panasonic Speaker Max,3,Poor,Very durable and efficient. Love the touch control.
GOO14047,Google Headphones Edge,3,Poor,Very durable and efficient. Love the touch control.
TCL56796,TCL Camera Max,5,Excellent,One of the best MSI Refrigerator I’ve ever used.
NOI59258,NoiseFit Earbuds Elite,1,Poor,One of the best AmazonBasics Monitor I’ve ever used.
JBL37711,JBL Smartphone Edge,5,Excellent,Highly recommend this Monitor if you need fast charging.
WHI19772,Whirlpool TV Plus,4,Terrific purchase,"Amazing Tablet from realme, great performance and design."
SON45686,Sony Tablet Lite,1,Poor,One of the best Logitech Smartphone I’ve ever used.
PHI25734,Philips TV Lite,3,Excellent,Very durable and efficient. Love the dual camera.
LEN79684,Lenovo Smartphone Max,5,Poor,Highly recommend this Smartphone if you need water resistant.
HYP54989,HyperX Headphones Pro,3,Terrific purchase,Highly recommend this Headphones if you need touch control.
TCL41004,TCL Printer Max,1,Terrific purchase,The realme TV offers Bluetooth and superb value for money.
KEN37870,Kent Tablet X,1,Terrific purchase,The Zebronics Air Conditioner offers water resistant and superb value for money.
MSI53785,MSI Smartphone Ultra,4,Terrific purchase,Very durable and efficient. Love the fast charging.
LG61863,LG Air Conditioner Plus,2,Average,Highly recommend this Smartphone if you need touch control.
HYP54253,HyperX Speaker X,4,Poor,Highly recommend this Headphones if you need smart assistant.
POC78013,POCO Gaming Console Prime,1,Good,"Amazing TV from Itel, great performance and design."
COR66244,Corsair Air Conditioner Pro,2,Excellent,"Amazing Washing Machine from Sony, great performance and design."
HON37945,Honor Smartwatch Pro,2,Excellent,One of the best Nokia Refrigerator I’ve ever used.
MSI35498,MSI Camera Edge,1,Excellent,Very durable and efficient. Love the smart assistant.
NOI13528,NoiseFit TV Pro,3,Poor,Very durable and efficient. Love the Bluetooth.
OPP39338,Oppo Headphones Max,3,Good,Highly recommend this Monitor if you need touch control.
OPP92543,Oppo Air Conditioner Ultra,1,Poor,One of the best Fire-Boltt Washing Machine I’ve ever used.
BOA86615,boAt Projector Edge,3,Average,Very durable and efficient. Love the dual camera.
SAM65164,Samsung Refrigerator Max,4,Terrific purchase,The OnePlus Smartwatch offers OLED display and superb value for money.
CRO51161,CrossBeats Laptop Plus,1,Terrific purchase,Very durable and efficient. Love the smart assistant.
GOD96574,Godrej Refrigerator Prime,5,Poor,Highly recommend this Laptop if you need touch control.
HYP68877,HyperX Laptop X,1,Average,One of the best Itel Monitor I’ve ever used.
MSI19861,MSI Projector Prime,2,Poor,"Amazing Laptop from Asus, great performance and design."
HP 11541,HP Omen TV Max,4,Good,Very durable and efficient. Love the wireless.
HYP41160,HyperX Smartphone Go,1,Average,The Samsung Laptop offers long battery life and superb value for money.
GOO11954,Google Air Conditioner Edge,1,Good,Highly recommend this Laptop if you need wireless.
DEL44967,Dell Gaming Console Edge,3,Average,The Tecno Washing Machine offers 4K UHD and superb value for money.
CAN23844,Canon Washing Machine X,1,Excellent,Very durable and efficient. Love the wireless.
XIA72212,Xiaomi Printer Lite,5,Good,Highly recommend this Air Conditioner if you need touch control.
KEN78978,Kent Gaming Console Max,4,Excellent,"Amazing Tablet from Hisense, great performance and design."
NOK67286,Nokia Earbuds Edge,5,Good,Highly recommend this Printer if you need water resistant.
CAN58613,Canon Refrigerator Prime,1,Poor,One of the best Canon Laptop I’ve ever used.
MSI76712,MSI Camera Lite,2,Average,The Xiaomi Camera offers touch control and superb value for money.
CAN78952,Canon Refrigerator Ultra,3,Poor,One of the best Zebronics Monitor I’ve ever used.
INF86879,Infinix Camera Go,2,Average,Highly recommend this TV if you need smart assistant.
LG91506,LG Projector Ultra,1,Terrific purchase,One of the best Realwear Gaming Console I’ve ever used.
SYS70251,Syska Refrigerator Edge,1,Excellent,One of the best BlueStar Earbuds I’ve ever used.
ASU28196,Asus Speaker Edge,5,Terrific purchase,Highly recommend this Monitor if you need touch control.
VIV64241,Vivo Refrigerator Plus,2,Good,Very durable and efficient. Love the smart assistant.
SAM89738,Samsung Earbuds X,3,Poor,"Amazing Monitor from Godrej, great performance and design."
FUJ38009,Fujifilm Headphones Prime,2,Poor,"Amazing Air Conditioner from Philips, great performance and design."
MOT43143,Motorola Washing Machine Ultra,5,Poor,Very durable and efficient. Love the touch control.
REA89077,realme Speaker Edge,3,Excellent,Highly recommend this Smartphone if you need dual camera.
FIR35930,Fire-Boltt Monitor Ultra,2,Good,"Amazing Camera from Itel, great performance and design."
GOD74271,Godrej Earbuds Plus,3,Excellent,One of the best Noise Laptop I’ve ever used.
NOI83723,NoiseFit Gaming Console Prime,2,Terrific purchase,Highly recommend this Smartphone if you need dual camera.
MSI62467,MSI Earbuds Elite,5,Average,Very durable and efficient. Love the wireless.
ITE17464,Itel Laptop Edge,1,Terrific purchase,The HyperX Headphones offers noise cancelling and superb value for money.
KEN66757,Kent Printer Pro,5,Excellent,The Noise Refrigerator offers long battery life and superb value for money.
POC36518,POCO Speaker Lite,1,Average,One of the best Philips Washing Machine I’ve ever used.
BOU41310,Boult Laptop Edge,2,Poor,One of the best HP Monitor I’ve ever used.
ASU60315,Asus Headphones Plus,2,Poor,"Amazing Smartphone from POCO, great performance and design."
LG14372,LG Refrigerator Elite,5,Excellent,Highly recommend this Headphones if you need fast charging.
HAV28145,Havells Smartphone X,5,Terrific purchase,"Amazing Earbuds from Infinix, great performance and design."
NOK74332,Nokia Tablet Edge,2,Poor,Very durable and efficient. Love the OLED display.
MOT59279,Motorola TV Max,5,Good,One of the best Acer Headphones I’ve ever used.
FIR25850,Fire-Boltt Tablet Ultra,1,Good,Highly recommend this Earbuds if you need smart assistant.
OPP84844,Oppo Monitor Go,1,Average,Highly recommend this Smartwatch if you need fast charging.
HP 75445,HP Omen TV Max,4,Excellent,Highly recommend this Laptop if you need OLED display.
APP64873,Apple Camera Max,1,Average,One of the best Mi Camera I’ve ever used.
HON27738,Honor Smartwatch X,1,Excellent,Highly recommend this Projector if you need water resistant.
ACE65610,Acer Tablet Max,2,Average,Very durable and efficient. Love the Bluetooth.
SON36530,Sony Tablet Go,3,Good,Highly recommend this Tablet if you need noise cancelling.
LAV15566,Lava Gaming Console Lite,1,Terrific purchase,One of the best POCO Smartphone I’ve ever used.
DEL81640,Dell Projector Lite,3,Poor,The Voltas Monitor offers touch control and superb value for money.
POC93937,POCO Smartwatch Elite,5,Excellent,"Amazing Refrigerator from Boult, great performance and design."
VIV89817,Vivo Gaming Console Edge,1,Poor,Highly recommend this Refrigerator if you need Bluetooth.
LAV89712,Lava Printer Pro,3,Terrific purchase,Very durable and efficient. Love the 4K UHD.
BOU63114,Boult Headphones Ultra,3,Excellent,The CrossBeats Smartphone offers smart assistant and superb value for money.
LEN25909,Lenovo Laptop Go,3,Poor,One of the best LG Printer I’ve ever used.
BOA23643,boAt TV Max,2,Excellent,Highly recommend this Projector if you need OLED display.
LOG44150,Logitech Earbuds Prime,3,Poor,One of the best HyperX TV I’ve ever used.
ACE29696,Acer Refrigerator Go,1,Poor,"Amazing Speaker from Fire-Boltt, great performance and design."
HAI22264,Haier Projector Prime,4,Excellent,Highly recommend this Tablet if you need fast charging.
BOA40361,boAt TV Ultra,1,Excellent,Very durable and efficient. Love the smart assistant.
XIA91641,Xiaomi TV Pro,5,Poor,Very durable and efficient. Love the long battery life.
DEL51194,Dell Alienware Printer Elite,2,Good,The Panasonic Earbuds offers Bluetooth and superb value for money.
HAI76295,Haier Gaming Console Ultra,3,Poor,Highly recommend this Speaker if you need noise cancelling.
MOT76043,Motorola TV Elite,2,Good,The iQOO Refrigerator offers touch control and superb value for money.
COR13439,Corsair Laptop Prime,4,Good,One of the best Infinix Air Conditioner I’ve ever used.
JBL85254,JBL TV Edge,3,Poor,Highly recommend this Printer if you need dual camera.
ASU82694,Asus Smartwatch Plus,1,Terrific purchase,The Panasonic Washing Machine offers fast charging and superb value for money.
REA68351,realme Camera Go,5,Poor,Very durable and efficient. Love the smart assistant.
REA42195,realme Refrigerator X,4,Average,Very durable and efficient. Love the wireless.
XIA94128,Xiaomi TV Elite,5,Terrific purchase,Very durable and efficient. Love the long battery life.
TEC58590,Tecno Gaming Console X,1,Excellent,The Canon Smartphone offers noise cancelling and superb value for money.
NOK22691,Nokia Earbuds Elite,3,Good,The Mi Smartwatch offers wireless and superb value for money.
HP75909,HP Headphones Plus,3,Good,One of the best Godrej Printer I’ve ever used.
GOO92678,Google Earbuds Ultra,3,Poor,One of the best iQOO Refrigerator I’ve ever used.
POC27638,POCO Smartphone X,4,Excellent,"Amazing Projector from Hisense, great performance and design."
LOG67186,Logitech Monitor Go,2,Excellent,One of the best Nikon Smartphone I’ve ever used.
XIA36159,Xiaomi Laptop Prime,5,Average,Very durable and efficient. Love the water resistant.
CAN34319,Canon Smartwatch Prime,3,Terrific purchase,Very durable and efficient. Love the water resistant.
DEL28153,Dell Alienware Tablet Lite,4,Terrific purchase,Highly recommend this Tablet if you need smart assistant.
VIV44049,Vivo Smartwatch Elite,1,Poor,The Google Gaming Console offers 4K UHD and superb value for money.
FIR99321,Fire-Boltt Monitor Max,3,Average,"Amazing Projector from Vivo, great performance and design."
HIS42705,Hisense Smartphone Plus,3,Good,Highly recommend this Monitor if you need touch control.
REA18451,Realwear Printer Edge,5,Poor,"Amazing Smartphone from Tecno, great performance and design."
NOI10218,NoiseFit Air Conditioner Edge,1,Poor,Highly recommend this Monitor if you need smart assistant.
HAI89407,Haier Smartphone Pro,1,Poor,"Amazing Refrigerator from LG, great performance and design."
ASU68338,Asus Gaming Console Go,1,Terrific purchase,Highly recommend this Earbuds if you need smart assistant.
LEN83151,Lenovo TV Elite,5,Average,"Amazing Monitor from Asus, great performance and design."
DEL34022,Dell Alienware Gaming Console Lite,2,Excellent,Highly recommend this Projector if you need smart assistant.
MSI69807,MSI TV Lite,5,Excellent,Highly recommend this Gaming Console if you need dual camera.
MI56012,Mi Speaker Edge,2,Excellent,The Zebronics Refrigerator offers water resistant and superb value for money.
HIS61741,Hisense Headphones X,5,Poor,One of the best BlueStar Smartphone I’ve ever used.
DEL33086,Dell Refrigerator Go,1,Poor,Highly recommend this Refrigerator if you need touch control.
KEN70214,Kent Headphones Go,1,Average,The Boult Smartphone offers touch control and superb value for money.
ITE69775,Itel Monitor Elite,2,Terrific purchase,"Amazing Monitor from Lava, great performance and design."
DEL32879,Dell Alienware Gaming Console Max,3,Terrific purchase,Very durable and efficient. Love the noise cancelling.
LG86350,LG Headphones Lite,5,Excellent,One of the best Kent Tablet I’ve ever used.
GOO92131,Google Earbuds Pro,4,Poor,The Haier Gaming Console offers dual camera and superb value for money.
HYP28725,HyperX Tablet Ultra,2,Average,Highly recommend this Earbuds if you need wireless.
GOD19356,Godrej Earbuds Plus,2,Excellent,Very durable and efficient. Love the dual camera.
DEL21407,Dell Alienware Gaming Console Ultra,2,Good,"Amazing Projector from Panasonic, great performance and design."
CAN80380,Canon Tablet X,3,Average,Very durable and efficient. Love the water resistant.
PHI36743,Philips Projector Edge,5,Excellent,Highly recommend this Headphones if you need water resistant.
NIK99985,Nikon Smartwatch Edge,3,Excellent,The Zebronics Earbuds offers long battery life and superb value for money.
BOU47018,Boult Speaker Max,4,Terrific purchase,"Amazing Headphones from Google, great performance and design."
